"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2183314,"December 5, 2021",Texas,Douglass,"13000 block of TX-21",0,1,N/A
2183158,"December 5, 2021",Florida,Clearwater,"1280 Druid Rd",0,1,N/A
2172201,"November 21, 2021",Wisconsin,Nasewaupee,N/A,0,1,N/A
2171859,"November 20, 2021","North Carolina",Robbins,"Cummings Rd",0,4,N/A
2170119,"November 18, 2021",Alabama,"Birmingham (Tarrant)","1400 block of Park Ave",0,2,N/A
2170035,"November 18, 2021","New Hampshire",Weare,"299 N Stark Hwy",0,1,N/A
2170073,"November 17, 2021",Pennsylvania,Philadelphia,"1700 block of S Cleveland St",0,1,N/A
2168581,"November 16, 2021","South Carolina",Easley,"Hillcrest Dr",0,1,N/A
2168541,"November 16, 2021","South Carolina",Newberry,"Gray St",0,1,N/A
2169231,"November 16, 2021",Texas,"Del Rio","400 block of Rosita St",0,2,N/A
2166826,"November 14, 2021",Texas,Buna,"168 Bean Rd",0,2,N/A
2167270,"November 13, 2021",Georgia,Nashville,"300 block of JD Nichols Rd",1,1,N/A
2166281,"November 12, 2021",Missouri,Florissant,"6800 block of Foxshire Dr",0,1,N/A
2165583,"November 12, 2021",Kentucky,Louisville,"6817 Brooklawn Dr",0,1,N/A
2164703,"November 11, 2021",Illinois,Chicago,"7453 S State St",0,3,N/A
2164039,"November 9, 2021",Illinois,Martinsville,N/A,0,1,N/A
2161546,"November 7, 2021","South Carolina",Greenville,"Staunton Bridge Rd",1,1,N/A
2161734,"November 7, 2021",Oklahoma,"Oklahoma City","1301 W Hefner Rd",0,1,N/A
2162918,"November 5, 2021","South Carolina","Round O","1350 Chisolm Rd",0,1,N/A
2154659,"October 30, 2021",Alabama,Birmingham,"12 1st Ave SW",0,1,N/A
2154063,"October 29, 2021",Kansas,Emporia,N/A,0,1,N/A
2151330,"October 26, 2021",Wisconsin,Milwaukee,"4502 N 21st St",0,1,N/A
2150980,"October 25, 2021",Michigan,Irons,"N Oakwood Ln",0,1,N/A
2150048,"October 24, 2021",Michigan,"Ann Arbor","700 block of N Maple Rd",0,1,N/A
2179741,"October 24, 2021",Wisconsin,"Florence (county)",N/A,0,1,N/A
2149787,"October 23, 2021","New York",Buffalo,"378 Massachusetts Ave",0,1,N/A
2147532,"October 21, 2021",Alabama,Birmingham,"5300 block of Highland Trace Ln",0,1,N/A
2143135,"October 17, 2021",Illinois,Chicago,"4000 block of S King Drive",0,1,N/A
2141906,"October 14, 2021",Ohio,Dayton,"Col Glenn Hwy",0,1,N/A
2141652,"October 12, 2021",Florida,Ocala,"5900 block of NW 2nd St",0,1,N/A
2139006,"October 9, 2021",Idaho,Grangeville,"700 block of N C St",0,1,N/A
2135808,"October 8, 2021",Indiana,Portage,"6200 block of Old Porter Rd",0,1,N/A
2133418,"October 5, 2021",Indiana,"South Bend","1100 block of Queen St",0,1,N/A
2133726,"October 5, 2021",Texas,Houston,"3800 block of Amos St",0,1,N/A
2133552,"October 4, 2021","North Carolina","Winston Salem (Winston-salem)",N/A,0,1,N/A
2131951,"October 3, 2021",California,Ramona,"24242 Sargent Rd",0,1,N/A
2134493,"October 2, 2021",Mississippi,Grenada,"400 block of Margin St",0,1,N/A
