Bias motivation,Total incidents,Individual,Business/FinancialInstitutions,Government,ReligiousOrganization,Society Public,Other,Year
Total,6628,5236,331,267,188,9,597,2010
Single-Bias Incidents,6624,5232,331,267,188,9,597,2010
Race,3135,2574,167,162,20,7,205,2010
Religion,1322,678,112,74,163,0,295,2010
Sexual Orientation,1277,1177,30,18,1,0,51,2010
Ethnicity/National Origin,847,764,21,13,4,1,44,2010
Disability,43,39,1,0,0,1,2,2010
Total,6222,5001,294,197,204,14,512,2011
Single-Bias Incidents,6216,4996,294,196,204,14,512,2011
Race,2917,2458,139,112,14,11,183,2011
Religion,1233,626,103,63,184,0,257,2011
Sexual Orientation,1293,1216,16,10,4,1,46,2011
Ethnicity/National Origin,720,647,35,10,2,1,25,2011
Disability,53,49,1,1,0,1,1,2011
Total,5796,4444,295,190,178,197,492,2012
Single-Bias Incidents,5790,4439,295,190,177,197,492,2012
Race,2797,2240,146,105,12,152,142,2012
Religion,1099,489,92,52,154,15,297,2012
Sexual Orientation,1135,1050,26,22,4,10,23,2012
Ethnicity/National Origin,667,578,27,11,7,14,30,2012
Disability,92,82,4,0,0,6,0,2012
Total,5928,4696,298,177,171,64,522,2013
Single-Bias Incidents,5922,4690,298,177,171,64,522,2013
Race,2871,2402,145,107,10,43,164,2013
Religion,1031,450,87,44,158,5,287,2013
Sexual Orientation,1233,1154,25,12,1,4,37,2013
Ethnicity,655,572,35,13,2,5,28,2013
Disability,83,69,4,1,0,6,3,2013
Gender,18,15,1,0,0,1,1,2013
Gender Identity,31,28,1,0,0,0,2,2013
Total,5479,4364,299,144,144,41,487,2014
Single-Bias Incidents,5462,4351,297,143,144,41,486,2014
Race,2568,2184,127,80,10,23,144,2014
Religion,1014,477,97,36,122,9,273,2014
Sexual Orientation,1017,923,28,17,5,3,41,2014
Ethnicity,648,575,32,8,6,1,26,2014
Disability,84,71,6,2,1,2,2,2014
Gender,33,30,0,0,0,3,0,2014
Gender Identity,98,91,7,0,0,0,0,2014
Total,5850,4714,295,140,178,49,474,2015
Single-Bias Incidents,5818,4689,295,138,176,49,471,2015
Race/Ethnicity/Ancestry,3310,2861,160,72,19,30,168,2015
Religion,1244,667,107,53,150,7,260,2015
Sexual Orientation,1053,976,20,11,5,1,40,2015
Disability,74,64,2,2,0,4,2,2015
Gender,23,21,2,0,0,0,0,2015
Gender Identity,114,100,4,0,2,7,1,2015
Total,6121,4779,391,220,146,63,522,2016
Single-Bias Incidents,6063,4740,385,214,145,63,516,2016
Race/Ethnicity/Ancestry,3489,2906,211,131,21,37,183,2016
Religion,1273,641,144,66,118,14,290,2016
Sexual Orientation,1076,992,26,13,6,5,34,2016
Disability,70,64,0,0,0,5,1,2016
Gender,31,29,1,1,0,0,0,2016
Gender Identity,124,108,3,3,0,2,8,2016
Total,7175,5373,515,282,168,220,617,2017
Single-Bias Incidents,7106,5322,514,273,168,218,611,2017
Race/Ethnicity/Ancestry,4131,3272,310,156,19,153,221,2017
Religion,1564,783,166,88,142,31,354,2017
Sexual Orientation,1130,1034,20,20,6,16,34,2017
Disability,116,89,7,2,0,16,2,2017
Gender,46,40,3,1,0,2,0,2017
Gender Identity,119,104,8,6,1,0,0,2017
Total,7120,5581,381,214,153,257,534,2018
Single-Bias Incidents,7036,5532,371,204,151,257,521,2018
Race/Ethnicity/Ancestry,4047,3334,189,97,14,195,218,2018
Religion,1419,784,128,91,127,37,252,2018
Sexual Orientation,1196,1091,36,14,10,5,40,2018
Disability,159,131,11,1,0,15,1,2018
Gender,47,43,0,1,0,1,2,2018
Gender Identity,168,149,7,0,0,4,8,2018
Total,7314,5524,478,263,208,194,647,2019
Single-Bias Incidents,7103,5410,466,240,194,191,602,2019
Race/Ethnicity/Ancestry,3963,3269,218,120,12,136,208,2019
Religion,1521,701,182,103,170,29,336,2019
Sexual Orientation,1195,1068,42,14,12,9,50,2019
Disability,157,137,8,1,0,10,1,2019
Gender,69,60,2,1,0,3,3,2019
Gender Identity,198,175,14,1,0,4,4,2019
