Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Age
2185474,"December 8, 2021",Texas,Dallas,8564 Lazy Acres Cir,1,0,,Adult
2183755,"December 5, 2021",Tennessee,Buchanan,10030 US-79,1,0,,Adult
2182238,"December 4, 2021",Iowa,Knoxville,132nd Pl,1,0,,Adult
2181438,"December 3, 2021",Kentucky,Pineville,101 Courthouse Sq,1,0,,Adult
2182295,"December 2, 2021",West Virginia,Twilight,Preston Branch Rd,1,0,,Adult
2180515,"December 1, 2021",Massachusetts,Northampton,23 Randolph Pl,1,0,,Adult
2180460,"November 28, 2021",Montana,Conner,,1,0,,Adult
2178037,"November 28, 2021",Ohio,Toledo,3500 block of N Erie St,1,0,,Adult
2175765,"November 25, 2021",Pennsylvania,Norristown,1100 block of Arch St,1,0,,Adult
2175523,"November 25, 2021",New York,Phelps,600 block of Cross Rd,1,0,,Adult
2174343,"November 23, 2021",Wisconsin,Saxon,,1,0,,Adult
2174201,"November 22, 2021",New Hampshire,Derry,27 Linlew Dr,1,0,,Adult
2173103,"November 20, 2021",Texas,Terrell,Co Rd 136,1,0,,Adult
2171971,"November 20, 2021",Pennsylvania,Columbus,2698 Alder Bottom Rd,1,0,,Adult
2167322,"November 14, 2021",Colorado,Aurora,13000 block of E 33rd Pl,1,0,,Adult
2167392,"November 14, 2021",Texas,Mckinney,4600 block of Kingsway Ln,1,0,,Adult
2170008,"November 14, 2021",Texas,Houston,11555 Fuqua St,1,0,,Adult
2167037,"November 14, 2021",Texas,Houston,11500 block of Fuqua St,1,0,,Adult
2167422,"November 13, 2021",Nebraska,Virginia,717 Rd and 607 Ave,1,0,,Adult
2164863,"November 11, 2021",Minnesota,Minneapolis (Brooklyn Center),5600 block of N Girard Ave,1,0,,Adult
2163895,"November 9, 2021",Texas,Beaumont,1300 block of Edwin St,1,0,,Adult
2163725,"November 9, 2021",Missouri,Kansas City,4300 block of E Linwood Blvd,1,0,,Adult
2164195,"November 8, 2021",South Carolina,Mc Coll,Platt Rd,1,0,,Adult
2181186,"November 8, 2021",Pennsylvania,Langhorne,400 block of Cynthia Ave,1,0,,Adult
2159609,"November 2, 2021",South Carolina,Charleston,1161 Cainhoy Rd,1,0,,Adult
2155786,"October 30, 2021",California,Compton,200 block of N Bowen Ave,1,0,,Adult
2152726,"October 27, 2021",Vermont,Vergennes (Addison),Pleasant View Dr,1,0,,Adult
2150890,"October 26, 2021",Tennessee,Nashville,Harpeth Knoll Rd and Beech Bend Dr,1,0,,Adult
2151494,"October 25, 2021",Pennsylvania,Harrisburg,268 Verbeke St,1,0,,Adult
2156411,"October 24, 2021",Texas,Leonard,4400 block of FM 1553,1,0,,Adult
2148563,"October 23, 2021",Illinois,Chicago,3700 block of S Wood St,1,0,,Adult
2149166,"October 22, 2021",Michigan,Clinton Township (Clinton Twp),19345 Gaynon Dr,1,0,,Adult
2147494,"October 21, 2021",New Mexico,Santa Fe,Bonanza Creek Ln,1,1,,Adult
2146467,"October 20, 2021",Ohio,Cincinnati,2881 Royal Glen Dr,1,0,,Adult
2142753,"October 14, 2021",Ohio,Akron,OH-8,1,0,,Adult
2141217,"October 14, 2021",Arizona,Peoria,N 83rd Ave and W Olive Ave,1,0,,Adult
2140128,"October 6, 2021",Texas,Dallas,10500 block of Lake June Rd,1,0,,Adult
2140753,"October 6, 2021",Wyoming,Ten Sleep,Sand Draw Rd,1,0,,Adult
2130850,"October 1, 2021",North Carolina,Charlotte,2600 Block of Clydesdale Terrace,1,0,,Adult
2129539,"September 30, 2021",Florida,Saint Augustine (St Augustine),215 Anastasia Blvd,1,0,,Adult
2128582,"September 28, 2021",Indiana,Westfield,1200 block of Sabrina Way,1,0,,Adult
2129284,"September 27, 2021",Kansas,Hays,1800 block of Kazan St,1,0,,Adult
2126505,"September 26, 2021",Texas,Port Arthur,100 block of 6th St,1,0,,Adult
2130461,"September 25, 2021",Georgia,Duluth,3355 McDaniel Rd,1,0,,Adult
2119057,"September 18, 2021",Wisconsin,Milwaukee,3400 block of N 67th St,1,0,,Adult
2120012,"September 17, 2021",Colorado,Dolores,Forest Rd 535,1,0,,Adult
2118466,"September 16, 2021",Texas,San Marcos,200 Springtown Way,1,0,,Adult
2118394,"September 15, 2021",Illinois,Joliet,1300 block of Waverly Pl,1,0,,Adult
2117257,"September 15, 2021",New York,Rochester,6 Vinewood Pl,1,0,,Adult
2115900,"September 13, 2021",Georgia,Atlanta,4226 Notting Hill Dr SW,1,0,,Adult
2115854,"September 13, 2021",Florida,Parrish,4200 block of Cottage Hill Ave,1,0,,Adult
2121284,"September 12, 2021",Arkansas,Arkadelphia,101 Nunn Dr,1,0,,Adult
2121291,"September 11, 2021",Alaska,Chicken,Taylor Hwy,1,0,,Adult
2117622,"September 11, 2021",California,Forbestown,Forbestown Rd,1,0,,Adult
2111306,"September 8, 2021",Missouri,Saint Louis,I-55,1,1,,Adult
2111032,"September 8, 2021",Texas,San Antonio,Carlota Ave and Culebra Rd,1,0,,Adult
2110058,"September 7, 2021",Texas,Houston,6500 block of Goforth St,1,0,,Adult
2108630,"September 4, 2021",Texas,Dallas,555 S Lamar St,1,0,,Adult
2106807,"September 3, 2021",Texas,Houston,6711 Hornwood Dr,1,0,,Adult
2107554,"September 3, 2021",Florida,Panama City,1623 15th St,1,1,,Adult
2105606,"August 31, 2021",Indiana,Fremont,100 block of Baum St,1,0,,Adult
2128223,"August 29, 2021",Michigan,Detroit,Woodingham Dr and Puritan Ave,1,0,,Adult
2102827,"August 26, 2021",Florida,Crawfordville,110 Melaleuca Dr,1,0,,Adult
2101237,"August 25, 2021",Florida,Holt,Wilkerson Bluff Rd,1,0,,Adult
2100311,"August 24, 2021",Indiana,Richmond,612 S 7th St,1,0,,Adult
2097513,"August 21, 2021",California,Guadalupe,Birch St and Obispo St,1,0,,Adult
2097200,"August 21, 2021",Minnesota,Minneapolis (Brooklyn Center),I-94 and I-694,1,0,,Adult
2096906,"August 20, 2021",Kansas,Hays,4500 block of Larned Cir,1,0,,Adult
2095383,"August 19, 2021",New York,Brooklyn,1525 St Johns Pl,1,1,,Adult
2092834,"August 16, 2021",Nevada,Henderson,500 block of Chelsea Dr,1,0,,Adult
2092310,"August 16, 2021",Wisconsin,Milwaukee,943 S 28th St,1,0,,Adult
2090016,"August 12, 2021",Texas,Houston,3900 Center St,1,0,,Adult
2089777,"August 12, 2021",Texas,Houston,3990 Washington Ave,1,0,,Adult
2087889,"August 10, 2021",Louisiana,Monroe,2936 Barrington Dr,1,0,,Adult
2087860,"August 10, 2021",Alabama,Monroe,2936 Barrington Dr,1,0,,Adult
2088253,"August 10, 2021",Texas,Arlington,2100 block of Cottoncreek Dr,1,0,,Adult
2080577,"August 1, 2021",Pennsylvania,Philadelphia,9500 block of Clark St,1,0,,Adult
2081408,"July 31, 2021",California,Petaluma,1216 Del Sol Way,2,0,,Adult
2079460,"July 31, 2021",North Carolina,Raleigh,700 block of Rock Quarry Rd,1,0,,Adult
2075861,"July 25, 2021",Texas,Prairie View,,1,0,,Adult
2073050,"July 24, 2021",Tennessee,Nashville,4000 block of Scotwood Dr,1,0,,Adult
2075001,"July 23, 2021",Nebraska,Beatrice,US-77,1,0,,Adult
2077372,"July 21, 2021",Oklahoma,Durant,1212 N 2nd Ave,1,0,,Adult
2070859,"July 20, 2021",Kansas,Wichita,550 N Nims St,1,0,,Adult
2066733,"July 18, 2021",Arizona,Phoenix,17th St and McDowell Rd,1,0,,Adult
2066378,"July 18, 2021",Texas,Lufkin,100 block of Deer Trace Cir,1,0,,Adult
2065125,"July 16, 2021",Pennsylvania,Scranton (Dunmore),400 block of William St,1,0,,Adult
2064549,"July 15, 2021",Texas,Athens,3800 block of Oakridge Estates Rd,1,0,,Adult
2070938,"July 15, 2021",Mississippi,Corinth,Cass St,1,0,,Adult
2120402,"July 10, 2021",Maryland,Hagerstown,300 block of Antietam Dr,1,0,,Adult
2056068,"July 7, 2021",West Virginia,Clarksburg,N 1st St,1,0,,Adult
2053921,"July 5, 2021",Kansas,Lenexa,12445 W 97th Ter,1,0,,Adult
2052995,"July 3, 2021",Virginia,Bedford,900 block of Burks Hill Rd,1,0,,Adult
2051232,"July 2, 2021",North Carolina,Tarboro,2200 block of Sherwood Ave,1,0,,Adult
2053259,"July 2, 2021",South Carolina,Charleston,100 block of Ivy Green Way,1,0,,Adult
2050250,"June 30, 2021",Michigan,Kalamazoo,5700 block of Higgins St,2,0,,Adult
2048839,"June 29, 2021",District of Columbia,Washington,1400 block of R St NW,1,0,,Adult
2048932,"June 29, 2021",Alabama,Mobile,2602 Florida St,1,0,,Adult
2048113,"June 29, 2021",Maryland,Annapolis,Pleasant St,1,0,,Adult
2045611,"June 26, 2021",Georgia,Atlanta,215 Piedmont Ave NE,1,2,,Adult
2045116,"June 25, 2021",Virginia,Virginia Beach,1300 block of Crane Crescent,1,0,,Adult
2042475,"June 20, 2021",Texas,Houston,3801 Omeara St,1,0,,Adult
2039532,"June 19, 2021",Illinois,Chicago,3301 W North Ave,1,0,,Adult
2042046,"June 19, 2021",New Jersey,Bridgeton,300 block of Atlantic St,1,0,,Adult
2038033,"June 17, 2021",Louisiana,Baton Rouge,Ford St and Mickens Rd,1,0,,Adult
2037273,"June 16, 2021",Oregon,Beaverton,SW Alger Ave and SW 14th St,1,0,,Adult
2036173,"June 14, 2021",Oklahoma,Tulsa,N Garnett Rd and E Admiral Pl,1,0,,Adult
2034643,"June 13, 2021",Texas,Grand Prairie,2300 block of Dalworth St,1,0,,Adult
2032475,"June 12, 2021",Florida,Fort Lauderdale (Sunrise),12801 W Sunrise Blvd,1,0,,Adult
2029899,"June 8, 2021",Virginia,Church Road,7400 block of Colemans Lake Rd,1,0,,Adult
2028374,"June 8, 2021",Illinois,Chicago,2200 block of N Marmora Ave,1,0,,Adult
2027097,"June 6, 2021",Florida,Miami Beach,I-195 and Alton Rd,1,0,,Adult
2026879,"June 5, 2021",Texas,Houston,1450 block of Oxford Meadow Dr,1,0,,Adult
2027081,"June 5, 2021",Iowa,Raymond,110 Hillcrest St,1,0,,Adult
2030497,"June 4, 2021",Wisconsin,Whitewater,304 N Tratt St,1,0,,Adult
2025180,"June 4, 2021",Virginia,Oak Hall,28000 block of Withams Rd,1,0,,Adult
2022188,"June 1, 2021",Texas,Lumberton (Rose Hill Acres),4940 US 69,1,0,,Adult
2021159,"May 30, 2021",Kentucky,Radcliff,,1,0,,Adult
2022433,"May 30, 2021",Pennsylvania,Coatesville,300 block of Community Ln,1,0,,Adult
2018972,"May 29, 2021",New York,Brooklyn,1971 Pacific St,1,0,,Adult
2019331,"May 29, 2021",Oklahoma,Tulsa,2186 S 99th E Ave,1,0,,Adult
2019036,"May 28, 2021",Georgia,Jackson,School St and Jackson St,1,1,,Adult
2019508,"May 28, 2021",Maryland,Fort Washington,10100 block of Old Fort Rd,1,0,,Adult
2018559,"May 27, 2021",Iowa,Waterloo,1433 Byron Ave,1,0,,Adult
2016573,"May 26, 2021",Utah,Salt Lake City (West Valley City),Hyannis Ave,1,0,,Adult
2015797,"May 26, 2021",Arizona,Mesa,1120 S Sycamore Rd,1,0,,Adult
2023336,"May 25, 2021",West Virginia,Kearneysville,3354 Charles Town Rd,1,0,,Adult
2018311,"May 23, 2021",Texas,Waller,1600 block of Bowler Rd,1,1,,Adult
2014514,"May 23, 2021",Texas,Austin,9705 Reservoir Ct,1,0,,Adult
2011610,"May 22, 2021",Indiana,Fort Wayne,2177 Eden St,1,4,,Adult
2014683,"May 22, 2021",Mississippi,Waynesboro,White Oak St,1,0,,Adult
2011139,"May 21, 2021",Texas,Fort Worth,1513 E Presidio St,2,0,,Adult
2011077,"May 21, 2021",New York,Albany,1st St and Quail St,1,5,,Adult
2010015,"May 19, 2021",Maryland,Laurel,3400 block of Laurel Fort Meade Rd,1,0,,Adult
2008789,"May 19, 2021",Michigan,Detroit,1555 Outer Dr E,1,2,,Adult
2008034,"May 18, 2021",Texas,Houston,17100 block of Hilton Hollow Dr,1,0,,Adult
2011809,"May 17, 2021",Florida,Brooker,1307 NW 223rd Ln,1,0,,Adult
2007135,"May 17, 2021",New York,Brooklyn,688 Remsen Ave,1,1,,Adult
2005169,"May 15, 2021",Pennsylvania,Archbald,600 Block of Salem Rd,1,1,,Adult
2004922,"May 14, 2021",Ohio,Columbus,2300 block of Sunbury Rd,1,0,,Adult
1994331,"May 3, 2021",Illinois,East Saint Louis (Cahokia),1300 block of Saint Stephens Dr,1,0,,Adult
1993916,"May 2, 2021",Texas,Houston,10010 Antoine Dr,1,0,,Adult
1993824,"May 2, 2021",West Virginia,Beckley,500 block of Terrill St,1,0,,Adult
1996618,"May 2, 2021",Kansas,Wichita,800 block of S Terrace Dr,1,0,,Adult
1987755,"April 26, 2021",Texas,Grand Prairie,2300 block of May Ln,1,0,,Adult
1989036,"April 26, 2021",Alaska,Nightmute,,1,0,,Adult
1989066,"April 26, 2021",Tennessee,Memphis,5001 Airways Blvd,1,0,,Adult
1987653,"April 25, 2021",Texas,Dallas,4300 block of Duncanville Rd,1,0,,Adult
1986575,"April 25, 2021",Arizona,Phoenix,4270 W Thomas Rd,1,0,,Adult
2045922,"April 25, 2021",New Mexico,Ruidoso,901 Mechem Dr,1,0,,Adult
1985267,"April 23, 2021",Missouri,Kansas City,2900 block of Lockridge Ave,1,0,,Adult
1984099,"April 21, 2021",Arizona,Phoenix,19th Ave and Peoria Ave,1,1,,Adult
1984361,"April 21, 2021",Tennessee,Nashville,3800 Clarksville Pike,1,0,,Adult
1984097,"April 20, 2021",Texas,Fort Worth,6200 block of Salem Trl,1,0,,Adult
1983157,"April 19, 2021",Alabama,Huntsville,,1,0,,Adult
1981570,"April 18, 2021",Nevada,Henderson,130 Par Excellence Dr,1,1,,Adult
1977316,"April 14, 2021",Georgia,Norcross,3400 block of Holcomb Bridge Rd,1,0,,Adult
1975373,"April 11, 2021",Florida,Jacksonville,4000 Block of Jeb Stuart Ln,1,0,,Adult
1974431,"April 11, 2021",Connecticut,Meriden,W Main St,1,0,,Adult
1974075,"April 10, 2021",Massachusetts,Boston,19 Olney St,1,0,,Adult
1974161,"April 10, 2021",Texas,Houston,6200 W Tidwell Rd,1,0,,Adult
1971583,"April 7, 2021",Arkansas,Blytheville,Walls St and Denny St,1,1,,Adult
1973320,"April 7, 2021",Michigan,Mount Pleasant,7183 Bellevue Dr,1,0,,Adult
1973662,"April 7, 2021",Texas,Dallas,1810 High Hill Blvd,1,0,,Adult
1970336,"April 5, 2021",Arizona,Fort Mohave,Cavalry Rd and Dunlap Rd,1,0,,Adult
1970179,"April 5, 2021",Michigan,Monroe,6123 Greenwycke Ln,1,0,,Adult
1967934,"April 3, 2021",California,Lancaster,44654 18th St W,1,0,,Adult
1969109,"April 3, 2021",Vermont,Rutland,253 S Main St,1,0,,Adult
1967912,"April 2, 2021",Texas,Edcouch,22000 block of Mile 5 1/2 Rd  W,1,0,,Adult
1965972,"March 31, 2021",Kansas,Kansas City,6400 block of Farrow Ave,1,0,,Adult
1966235,"March 30, 2021",Virginia,Smithfield,900 block of John Rolfe Dr,1,0,,Adult
1966375,"March 30, 2021",Illinois,Oswego,800 block of Columbus Dr,1,0,,Adult
1964480,"March 29, 2021",Texas,San Antonio,8000 Oakdell Way,1,0,,Adult
1963712,"March 27, 2021",Pennsylvania,Wilkes Barre,72 Lloyds Ln,1,0,,Adult
1962905,"March 26, 2021",Virginia,Virginia Beach,300 block of 19th St,1,0,,Adult
1960348,"March 23, 2021",Florida,Tallahassee,2849 Apalachee Pkwy,1,1,,Adult
1957906,"March 20, 2021",Wisconsin,Milwaukee,5900 block of N 76th St,1,0,,Adult
1958776,"March 17, 2021",New York,Kingston,358 Broadway,1,0,,Adult
1952746,"March 13, 2021",Texas,Waco,937 S 11th St,1,1,,Adult
1951655,"March 12, 2021",New York,Corona (Queens),Broadway and 48th St,1,0,,Adult
1951793,"March 12, 2021",Minnesota,Gaylord,27497 451st Ave,1,0,,Adult
1953474,"March 12, 2021",New York,Newburgh,,1,0,,Adult
1949918,"March 8, 2021",Oregon,Bonanza,Bongo Ln,1,0,,Adult
1947184,"March 7, 2021",Tennessee,Cleveland,1585 Spring Place Rd SE,1,0,,Adult
1947107,"March 6, 2021",Texas,Bellaire,4439 Bissonnet St,1,0,,Adult
1947126,"March 5, 2021",Texas,Mckinney,1900 block of Grassmere Ln,1,0,,Adult
1944102,"March 3, 2021",Mississippi,Greenwood,Nelson St and Wilczinski St,1,0,,Adult
1946200,"March 2, 2021",Indiana,New Albany,Wayne St,1,0,,Adult
1944255,"March 1, 2021",New Mexico,Taos,Salazar Rd,1,0,,Adult
1941245,"February 27, 2021",Michigan,Saint Johns,500 block of E State St,1,0,,Adult
1939861,"February 26, 2021",Kansas,Hays,2000 block of 200th Ave,1,0,,Adult
1939110,"February 21, 2021",New Mexico,Roswell,50 block of B St,1,0,,Adult
1936034,"February 20, 2021",Georgia,Calhoun,136 W Belmont Dr,1,0,,Adult
1931260,"February 17, 2021",Missouri,Kansas City,1900 block of W Pennway Ter,2,1,,Adult
1931297,"February 16, 2021",Illinois,Chicago,829 W 31st St,1,0,,Adult
1931422,"February 16, 2021",California,Los Angeles,13100 block of San Pedro St,1,0,,Adult
1950259,"February 14, 2021",Michigan,Lansing,3435 W St Joseph St,1,0,,Adult
1926842,"February 10, 2021",Georgia,Columbus,1270 Carmel Dr,1,0,,Adult
1927921,"February 10, 2021",Kentucky,Latonia (Taylor Mill),Knollwood Dr,1,0,,Adult
1925681,"February 10, 2021",Tennessee,Nashville,800 block of Claiborne St,1,0,,Adult
1924171,"February 8, 2021",Idaho,Idaho Falls,Tendoy Dr and Syringa Dr,1,0,,Adult
1926689,"February 7, 2021",Tennessee,Memphis,S Danny Thomas Blvd and Mississippi Blvd,1,1,,Adult
1923411,"February 7, 2021",Michigan,Pontiac,300 block of N Perry St,1,0,,Adult
1919003,"February 2, 2021",Michigan,Metamora,3660 S Lapeer Rd,1,0,,Adult
1921789,"February 2, 2021",Florida,Opa Locka,NW 132nd St and NW 28th Ave,1,0,,Adult
1918452,"February 1, 2021",West Virginia,Lester,Burma Ln,1,0,,Adult
1913552,"January 27, 2021",Tennessee,Memphis,136 E McKellar Ave,1,0,,Adult
1912954,"January 26, 2021",Texas,Houston,2219 Laurel Creek Dr,1,0,,Adult
1911305,"January 25, 2021",California,Davis,44643 CR 29,1,0,,Adult
1911944,"January 25, 2021",North Carolina,Engelhard,,1,0,,Adult
1908181,"January 21, 2021",Kentucky,Louisville,600 block of S 41st St,1,0,,Adult
1908542,"January 21, 2021",California,Oakland,107th Ave and Apricot St,1,3,,Adult
1910200,"January 21, 2021",Montana,Billings,Southview Dr,1,0,,Adult
1907472,"January 20, 2021",Pennsylvania,Lock Haven,Youngs Ave,1,0,,Adult
1905448,"January 18, 2021",Louisiana,New Orleans,3000 block of Bienville St,2,1,,Adult
2152704,"January 16, 2021",Texas,Houston,12007 Soft Pines Dr,1,0,,Adult
1903561,"January 15, 2021",Minnesota,Willmar,1000 block of 4th St SW,1,0,,Adult
1899185,"January 10, 2021",Indiana,Columbus,9200 E State Rd 58,1,0,,Adult
1896655,"January 4, 2021",Oklahoma,Idabel,100 NW Jamaica Ave,1,0,,Adult
1893327,"January 3, 2021",Texas,Houston,2900 Travis St,1,4,,Adult
1892646,"January 2, 2021",South Carolina,Myrtle Beach,9547 US-17 BUS,1,2,,Adult
1892901,"January 2, 2021",Oregon,Portland,13424 NE Sandy Blvd,1,0,,Adult
1894799,"January 2, 2021",Idaho,Kuna,28000 block of S Pleasant Valley Rd,1,0,,Adult
1891520,"January 1, 2021",Illinois,Chicago,8700 block of S Buffalo Ave,1,1,,Adult
1892128,"January 1, 2021",Texas,Arlington,1600 block of Connally Terr,1,0,,Adult
1892390,"December 29, 2020",Texas,San Antonio,7700 block of Oakdell Dr,1,0,,Adult
1888338,"December 28, 2020",Nevada,Whitney,Stephanie St and E Hacienda Ave,1,0,,Adult
1888046,"December 27, 2020",Maryland,Churchville,2800 block of Churchville Rd,1,0,,Adult
1886751,"December 25, 2020",Texas,Denton,1100 block of Ave B,1,0,,Adult
1886385,"December 24, 2020",Florida,Lehigh Acres,5300 block of Butte St,1,0,,Adult
1886077,"December 24, 2020",South Carolina,Florence,4000 block of W Palmetto St,1,0,,Adult
1898385,"December 24, 2020",Ohio,Brookpark (Brook Park),Paulding Blvd,1,0,,Adult
1883991,"December 22, 2020",Texas,Houston,131 Wellington St,1,0,,Adult
1884497,"December 22, 2020",Louisiana,Alexandria,3900 block of Clinton St,1,0,,Adult
1883735,"December 21, 2020",Minnesota,Saint Paul,300 block of Larpenteur Ave W,1,0,,Adult
1885277,"December 20, 2020",Alabama,Friendship,,1,0,,Adult
1878951,"December 15, 2020",Maryland,Edgewood,1400 block of Hanson Rd,1,0,,Adult
1880345,"December 15, 2020",California,Fontana,Mango Ave and Foothill Blvd,1,0,,Adult
1927638,"December 14, 2020",Georgia,Atlanta (Sandy Springs),5500 Block of Roswell Rd,1,0,,Adult
