Crime,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total,6628,6222,5796,5928,5479,5850,6121,7175,7120,7314
Crimes against persons:,3978,3754,3258,3607,3303,3646,3765,4090,4571,4526
Murder,6,4,5,5,4,8,5,12,13,18
Forcible rape,4,7,15,21,9,13,24,23,22,30
Aggravated assault,695,677,644,588,599,681,684,788,818,866
Simple assault,1472,1336,1336,1441,1307,1436,1458,1433,1653,1730
Intimidation,1790,1720,1230,1528,1378,1495,1577,1807,2039,1849
Crimes against property:,2861,2611,2547,2424,2317,2338,2519,3115,2641,31
Robbery,146,131,126,126,122,120,134,157,132,2811
Burglary,125,124,142,174,162,147,123,145,131,125
Larceny-theft,175,152,258,225,239,255,231,326,330,114
Motor vehicle theft,16,6,23,20,22,22,20,41,42,284
Arson,43,42,38,36,26,30,39,42,43,19
Vandalism,2321,2125,1906,1783,1694,1698,1913,2325,1876,60
Other,35,31,54,60,52,66,59,79,87,2152
Crimes against society,14,20,203,79,53,65,82,238,289,57
