Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All crimes,6396.6,6370.3,6607.7,6073.9,6110.2,6466.1,6728.5,6808.2,7263.8,7339.1,7244.5,7466.4,7294.5,7509.3,8157.2,8228.3,8476.2,8211.3,7421.4,6757.2,6493.6,6202.2,6232.4,6078.1,5998.2,5907.1,6072.8,5983.5,5833.6,5343.8,4856.9,4366.4,3940.4,3237.3,3060.7,2753.8,2553.0,2409.8,2168.8,2083.1
Murder and nonneglient manslaughter,5.8,6.6,6.1,5.1,4.6,5.3,5.9,6.4,8.5,9.8,11.4,11.9,11.3,12.8,12.3,10.7,8.9,7.6,6.5,4.4,3.6,3.8,3.9,3.7,3.2,3.7,3.7,3.9,3.7,3.5,3.0,2.5,2.2,2.3,2.3,2.4,2.6,2.7,2.8,2.6
Forcible rape*,14.9,15.2,16.2,16.6,19.1,19.6,20.3,20.0,19.9,21.7,21.1,22.4,21.4,21.3,19.7,18.3,17.8,17.0,16.3,14.7,13.4,13.5,13.7,12.2,12.2,11.6,10.4,10.4,9.7,9.2,8.5,8.3,7.6,,,,,,,
Robbery,145.1,146.5,137.5,129.7,121.9,121.9,119.4,110.6,116.9,137.7,145.4,158.6,159.3,167.5,183.5,181.9,159.9,126.9,106.2,91.5,83.5,79.4,72.7,74.1,74.0,84.4,101.3,100.2,103.7,93.9,80.8,70.9,64.5,57.8,58.7,55.6,57.6,57.8,51.8,48.3
Aggravated assault,129.6,128.5,133.9,128.0,133.2,145.6,158.0,158.4,188.2,217.2,233.3,240.7,257.8,268.8,282.0,275.7,244.5,240.3,224.2,209.1,198.2,192.9,181.9,177.5,174.5,177.0,174.9,165.6,163.2,146.8,132.2,120.6,108.3,92.3,90.3,85.4,83.7,83.9,83.1,80.8
Burglary,728.4,707.5,684.6,609.8,553.0,585.2,568.7,551.7,547.4,535.7,506.0,514.6,494.8,467.9,473.1,443.3,430.9,405.3,356.0,298.0,283.6,264.4,251.5,243.9,234.3,225.7,240.7,236.5,244.2,220.0,192.4,183.6,160.4,128.6,121.1,106.3,95.3,91.7,66.1,61.8
Larceny-theft,1409.2,1395.0,1436.2,1402.7,1429.6,1504.4,1545.4,1590.2,1666.1,1637.0,1635.8,1668.4,1578.5,1539.9,1665.4,1643.1,1594.3,1545.7,1285.6,1129.6,1086.3,1015.9,985.3,937.5,929.4,848.8,799.5,866.5,942.7,937.6,832.3,755.2,671.0,558.4,531.2,467.3,401.2,353.6,276.5,250.6
Motor vehicle theft,201.6,169.8,156.8,142.3,149.7,180.8,217.5,244.1,304.7,343.5,333.2,323.1,305.2,299.0,295.5,265.9,234.9,208.7,167.3,154.5,153.6,144.5,135.8,130.7,115.3,110.4,100.6,85.9,73.3,59.0,46.8,41.8,39.3,35.0,38.2,43.7,47.2,48.8,44.2,40.9
Arson,23.9,23.6,21.6,21.0,22.9,23.3,22.6,21.8,24.9,24.7,25.3,28.3,29.4,29.1,33.9,30.6,28.5,29.4,25.2,24.3,23.1,25.8,22.0,22.4,21.1,22.0,22.2,19.6,18.0,15.0,12.8,13.9,12.4,10.4,9.0,7.7,7.3,6.5,5.3,5.2
Simple assault,276.3,270.7,287.8,292.6,281.4,333.7,360.8,401.1,450.6,502.2,532.6,571.9,585.6,630.6,696.2,703.0,742.7,761.7,731.0,701.0,700.1,709.0,692.5,698.2,724.8,720.1,719.2,697.3,676.7,645.2,618.9,564.4,514.3,437.8,418.2,390.5,382.3,365.0,371.2,376.0
Vandalism,372.1,350.3,339.4,340.5,354.8,378.5,368.4,379.6,399.0,415.4,449.9,478.5,477.2,465.8,487.7,437.2,438.0,418.7,381.0,343.7,333.5,304.6,301.8,303.3,293.5,297.6,335.4,319.2,309.0,263.8,225.2,199.6,176.9,138.3,133.4,123.4,115.5,108.2,90.3,94.7
Weapons law violations,84.9,89.2,89.3,85.2,92.8,104.2,106.6,105.9,131.3,142.1,144.4,172.6,187.6,208.1,209.2,185.8,167.8,164.1,138.0,126.1,109.7,109.7,102.8,113.4,117.2,129.8,135.5,125.9,115.8,98.9,91.7,82.7,72.7,60.2,61.4,57.4,57.6,54.6,50.9,48.1
Drug abuse violations,357.7,302.7,307.9,268.7,291.7,330.3,293.0,317.5,382.3,415.0,296.6,287.5,313.5,385.1,533.1,642.4,683.4,684.5,630.6,592.4,602.3,603.8,553.8,581.5,566.4,562.6,573.9,570.5,528.4,504.7,507.0,444.2,420.7,352.9,341.8,298.0,295.5,283.7,271.4,244.2
Driving under the influence,106.3,101.3,110.5,103.1,87.7,86.4,101.5,88.5,89.3,75.1,74.6,66.4,52.0,46.4,46.3,49.5,58.9,62.5,65.6,69.3,64.5,62.3,64.0,61.0,57.5,52.1,57.1,52.3,46.7,39.8,35.7,30.3,28.2,22.8,20.8,19.8,19.4,18.2,16.3,16.7
Liquor law violations,495.3,482.7,502.0,461.4,465.1,496.7,589.0,589.9,621.0,569.2,577.3,519.5,421.8,395.4,409.3,418.7,515.5,442.8,428.9,425.0,397.9,326.2,430.7,392.2,367.7,363.3,406.1,406.6,380.9,326.9,281.7,263.7,233.8,178.2,154.1,129.8,110.2,100.4,78.9,80.1
Drunkenness,144.8,130.7,139.8,113.1,107.8,97.8,113.3,88.3,88.0,80.2,88.8,78.9,66.0,57.5,61.9,67.4,76.3,77.4,78.7,63.8,66.5,61.4,55.2,50.8,48.5,46.2,47.4,49.2,45.6,40.8,37.7,34.2,29.7,22.1,19.4,16.4,14.3,12.8,9.8,10.4
Disorderly conduct,408.9,395.5,449.7,369.2,322.3,333.8,348.5,367.2,420.1,433.5,429.2,467.9,469.3,495.0,567.4,572.6,689.6,679.9,564.2,507.8,485.7,491.1,568.7,564.7,578.8,593.7,605.0,589.5,552.7,501.8,461.7,413.8,358.8,285.2,240.5,212.7,195.5,185.9,171.8,161.3
Curfew and loitering,229.4,311.1,305.6,256.4,301.7,287.5,307.3,321.5,261.6,284.0,294.2,333.5,317.0,341.5,428.1,490.3,593.9,577.6,587.5,515.6,469.7,428.0,417.8,400.6,401.8,409.9,444.4,416.7,391.0,333.0,281.2,229.4,209.9,168.7,160.1,133.8,102.1,89.8,65.6,44.0
Running away,489.6,497.8,461.7,437.3,508.3,564.4,584.8,572.1,601.7,579.5,628.8,629.2,627.3,611.7,825.0,811.9,625.8,617.4,512.4,454.7,428.6,396.3,369.1,360.9,346.7,315.8,330.8,316.3,319.8,275.4,,,,,,,,,,
Violent crimes*,280.5,281.6,277.5,262.7,259.7,272.8,283.3,275.4,313.6,364.8,390.2,411.2,428.5,449.1,477.8,468.3,413.4,374.8,336.9,305.0,285.3,276.1,258.6,255.3,251.7,265.1,279.9,269.8,270.6,244.1,216.0,194.0,174.9,152.4,151.2,143.4,143.9,144.5,137.7,131.7
Property crime index,2363.0,2295.9,2299.3,2175.8,2155.1,2293.7,2354.3,2407.9,2543.1,2540.8,2500.3,2534.4,2407.9,2336.0,2468.0,2382.8,2288.7,2189.1,1834.1,1606.3,1546.6,1450.6,1394.6,1334.4,1300.1,1207.0,1163.0,1208.5,1278.2,1231.6,1084.3,994.5,883.2,732.4,699.4,625.1,551.0,500.6,392.0,358.6
