Bias motivation,Incidents,Victims,Year
Total,6628,8208,2010
Single-Bias Incidents,6624,8199,2010
Race,3135,3949,2010
Anti-White,575,697,2010
Anti-Black,2201,2765,2010
Anti-American Indian/Alaskan Native,44,47,2010
Anti-Asian/Pacific Islander,150,203,2010
"Anti-Multiple Races, Group",165,237,2010
Religion,1322,1552,2010
Anti-Jewish,887,1040,2010
Anti-Catholic,58,65,2010
Anti-Protestant,41,47,2010
Anti-Islamic,160,197,2010
Anti-Other Religion,123,141,2010
"Anti-Multiple Religions, Group",48,55,2010
Anti-Atheism/Agnosticism/etc.,5,7,2010
Sexual Orientation,1277,1528,2010
Anti-Male Homosexual,739,876,2010
Anti-Female Homosexual,144,181,2010
Anti-Homosexual,347,420,2010
Anti-Heterosexual,21,22,2010
Anti-Bisexual,26,29,2010
Ethnicity/National Origin,847,1122,2010
Anti-Hispanic,534,747,2010
Anti-Other Ethnicity/National Origin,313,375,2010
Disability,43,48,2010
Anti-Physical,19,24,2010
Anti-Mental,24,24,2010
Total,6222,7713,2011
Single-Bias Incidents,6216,7697,2011
Race,2917,3645,2011
Anti-White,504,593,2011
Anti-Black,2076,2619,2011
Anti-American Indian/Alaskan Native,61,70,2011
Anti-Asian/Pacific Islander,138,175,2011
"Anti-Multiple Races, Group",138,188,2011
Religion,1233,1480,2011
Anti-Jewish,771,936,2011
Anti-Catholic,67,84,2011
Anti-Protestant,44,51,2011
Anti-Islamic,157,185,2011
Anti-Other Religion,130,155,2011
"Anti-Multiple Religions, Group",60,65,2011
Anti-Atheism/Agnosticism/etc.,4,4,2011
Sexual Orientation,1293,1572,2011
Anti-Male Homosexual,760,891,2011
Anti-Female Homosexual,137,174,2011
Anti-Homosexual,359,465,2011
Anti-Heterosexual,16,19,2011
Anti-Bisexual,21,23,2011
Ethnicity/National Origin,720,939,2011
Anti-Hispanic,405,534,2011
Anti-Other Ethnicity/National Origin,315,405,2011
Disability,53,61,2011
Anti-Physical,19,26,2011
Anti-Mental,34,35,2011
Total,5796,7164,2012
Single-Bias Incidents,5790,7151,2012
Race,2797,3467,2012
Anti-White,657,763,2012
Anti-Black,1805,2295,2012
Anti-American Indian/Alaskan Native,101,115,2012
Anti-Asian/Pacific Islander,121,143,2012
"Anti-Multiple Races, Group",113,151,2012
Religion,1099,1340,2012
Anti-Jewish,674,836,2012
Anti-Catholic,70,86,2012
Anti-Protestant,33,35,2012
Anti-Islamic,130,155,2012
Anti-Other Religion,92,115,2012
"Anti-Multiple Religions, Group",88,101,2012
Anti-Atheism/Agnosticism/etc.,12,12,2012
Sexual Orientation,1135,1376,2012
Anti-Male Homosexual,605,741,2012
Anti-Female Homosexual,146,175,2012
Anti-Homosexual,321,393,2012
Anti-Heterosexual,24,26,2012
Anti-Bisexual,39,41,2012
Ethnicity/National Origin,667,866,2012
Anti-Hispanic,384,514,2012
Anti-Other Ethnicity/National Origin,283,352,2012
Disability,92,102,2012
Anti-Physical,18,20,2012
Anti-Mental,74,82,2012
Total,5928,7242,2013
Single-Bias Incidents,5922,7230,2013
Race,2871,3563,2013
Anti-White,653,754,2013
Anti-Black or African American,1856,2371,2013
Anti-American Indian or Alaska Native,129,159,2013
Anti-Asian,135,164,2013
