Location,Total incidents,Race,Religion,SexualOrientation,Ethnicity,Disability,Year,Gender,Gender Identity
Total,6628,3135.0,1322,1277,847,43,2010,,
Air/bus/train terminal,70,31.0,8,21,9,1,2010,,
Bank/savings and loan,12,7.0,1,2,2,0,2010,,
Bar/nightclub,144,54.0,7,62,20,0,2010,,
Camp/campground,1,0.0,0,0,1,0,2010,,
Church/synagogue/temple,244,26.0,207,7,4,0,2010,,
Commercial office building,123,63.0,20,16,23,1,2010,,
Construction site,11,7.0,0,1,3,0,2010,,
Convenience store,68,33.0,8,9,17,1,2010,,
Department/discount store,72,34.0,15,14,9,0,2010,,
Drug store/Doctor's office/hospital,55,24.0,22,5,3,1,2010,,
Field/woods,65,34.0,9,14,8,0,2010,,
Gambling facility/casino/race track,1,1.0,0,0,0,0,2010,,
Government/public building,106,58.0,22,15,11,0,2010,,
Grocery/supermarket,39,18.0,4,8,9,0,2010,,
Highway/road/alley/street,1127,593.0,109,268,148,9,2010,,
Hotel/motel/etc.,38,21.0,3,7,6,1,2010,,
Industrial site,1,0.0,1,0,0,0,2010,,
Jail/prison,52,35.0,2,10,5,0,2010,,
Lake/waterway,14,8.0,3,3,0,0,2010,,
Liquor store,8,4.0,1,2,1,0,2010,,
Parking lot/garage,385,188.0,45,88,63,1,2010,,
Park/playground,2,2.0,0,0,0,0,2010,,
Rental storage facility,5,1.0,2,1,1,0,2010,,
Residence/home,2079,1052.0,352,399,261,14,2010,,
Restaurant,107,54.0,8,21,23,1,2010,,
School/college,724,368.0,168,107,71,9,2010,,
Service/gas station,59,30.0,8,9,12,0,2010,,
Shopping mall,2,1.0,0,1,0,0,2010,,
"Specialty store (TV, fur, etc.)",55,21.0,14,10,10,0,2010,,
Other/unknown,950,361.0,283,177,125,4,2010,,
Total,6222,2917.0,1233,1293,720,53,2011,,
Abandoned/condemned structure,2,0.0,1,1,0,0,2011,,
Air/bus/train terminal,59,32.0,4,14,8,1,2011,,
Amusement park,2,0.0,1,0,1,0,2011,,
Arena/stadium/fairgrounds/coliseum,2,2.0,0,0,0,0,2011,,
ATM separate from bank,1,1.0,0,0,0,0,2011,,
Auto dealership new/used,2,0.0,1,1,0,0,2011,,
Bank/savings and loan,13,10.0,2,0,1,0,2011,,
Bar/nightclub,153,66.0,6,64,16,1,2011,,
Camp/campground,2,0.0,0,2,0,0,2011,,
Church/synagogue/temple/mosque,276,25.0,237,7,7,0,2011,,
Commercial office building,114,55.0,32,12,15,0,2011,,
Construction site,8,3.0,2,1,2,0,2011,,
Convenience store,79,35.0,10,12,22,0,2011,,
Daycare facility,1,0.0,0,1,0,0,2011,,
Department/discount store,72,39.0,15,12,6,0,2011,,
Drug store/Doctor's office/hospital,62,30.0,14,7,7,4,2011,,
Farm facility,2,0.0,1,1,0,0,2011,,
Field/woods,52,26.0,9,10,7,0,2011,,
Gambling facility/casino/race track,1,0.0,0,0,1,0,2011,,
Government/public building,89,51.0,20,10,8,0,2011,,
Grocery/supermarket,59,36.0,4,6,12,1,2011,,
Highway/road/alley/street/sidewalk,1121,562.0,96,309,143,9,2011,,
Hotel/motel/etc.,43,28.0,2,5,7,1,2011,,
Industrial site,3,2.0,0,0,1,0,2011,,
Jail/prison/penitentiary/corrections facility,38,24.0,1,7,5,1,2011,,
Lake/waterway/beach,14,6.0,2,2,4,0,2011,,
Liquor store,10,7.0,1,0,2,0,2011,,
Park/playground,36,19.0,4,6,7,0,2011,,
Parking/drop lot/garage,366,183.0,30,90,59,4,2011,,
Rental storage facility,13,7.0,0,3,3,0,2011,,
Residence/home,1993,984.0,353,413,221,20,2011,,
Rest area,5,4.0,0,1,0,0,2011,,
Restaurant,115,60.0,11,21,23,0,2011,,
School/college2,375,175.0,89,77,30,4,2011,,
School—college/university,53,28.0,8,12,5,0,2011,,
School—elementary/secondary,150,73.0,35,30,10,1,2011,,
Service/gas station,48,25.0,9,3,11,0,2011,,
Shelter—mission/homeless,1,1.0,0,0,0,0,2011,,
Shopping mall,27,14.0,3,5,4,1,2011,,
"Specialty store (TV, fur, etc.)",48,20.0,11,9,7,1,2011,,
Tribal Lands,1,0.0,0,1,0,0,2011,,
Other/unknown,704,279.0,219,138,64,4,2011,,
Total,5796,2797.0,1099,1135,667,92,2012,,
Abandoned/condemned structure,4,2.0,0,0,2,0,2012,,
Air/bus/train terminal,75,40.0,2,22,6,5,2012,,
Amusement park,2,2.0,0,0,0,0,2012,,
ATM separate from bank,1,1.0,0,0,0,0,2012,,
Auto dealership new/used,2,1.0,1,0,0,0,2012,,
Bank/savings and loan,15,7.0,4,1,2,1,2012,,
Bar/nightclub,105,46.0,1,41,14,3,2012,,
Camp/campground,4,0.0,2,1,1,0,2012,,
Church/synagogue/temple/mosque,235,20.0,200,5,9,0,2012,,
Commercial office building,95,40.0,14,28,13,0,2012,,
Construction site,12,8.0,1,1,2,0,2012,,
Convenience store,72,35.0,9,14,14,0,2012,,
Daycare facility,3,1.0,2,0,0,0,2012,,
Department/discount store,51,30.0,6,10,3,2,2012,,
Dock/wharf/freight/modal terminal,1,1.0,0,0,0,0,2012,,
Drug store/Doctor's office/hospital,44,27.0,7,1,7,1,2012,,
Farm facility,3,3.0,0,0,0,0,2012,,
Field/woods,48,21.0,11,10,4,2,2012,,
Gambling facility/casino/race track,3,2.0,1,0,0,0,2012,,
Government/public building,66,47.0,9,5,4,1,2012,,
Grocery/supermarket,52,39.0,2,6,4,1,2012,,
Highway/road/alley/street/sidewalk,1058,556.0,78,268,140,15,2012,,
Hotel/motel/etc.,39,17.0,4,8,10,0,2012,,
Industrial site,5,1.0,3,0,1,0,2012,,
Jail/prison/penitentiary/corrections facility,46,25.0,5,7,9,0,2012,,
Lake/waterway/beach,10,4.0,2,4,0,0,2012,,
Liquor store,10,6.0,1,1,2,0,2012,,
Park/playground,53,36.0,8,4,5,0,2012,,
Parking/drop lot/garage,330,191.0,24,67,46,2,2012,,
Rental storage facility,5,2.0,1,0,1,1,2012,,
Residence/home,1887,978.0,293,355,213,45,2012,,
Rest area,7,6.0,0,1,0,0,2012,,
Restaurant,103,53.0,9,26,14,1,2012,,
School/college2,222,118.0,36,52,15,1,2012,,
School—college/university,76,29.0,19,15,12,1,2012,,
School—elementary/secondary,185,104.0,26,31,22,2,2012,,
Service/gas station,39,18.0,6,5,9,1,2012,,
Shelter—mission/homeless,1,1.0,0,0,0,0,2012,,
Shopping mall,27,10.0,6,8,3,0,2012,,
"Specialty store (TV, fur, etc.)",51,24.0,11,3,12,1,2012,,
Other/unknown,743,243.0,293,133,68,6,2012,,
Total,5928,2871.0,1031,1233,655,83,2013,18.0,31.0
Abandoned/condemned structure,2,0.0,0,1,0,1,2013,0.0,0.0
Air/bus/train terminal,63,31.0,5,21,4,0,2013,0.0,2.0
Arena/stadium/fairgrounds/coliseum,3,1.0,0,2,0,0,2013,0.0,0.0
Auto dealership new/used,2,2.0,0,0,0,0,2013,0.0,0.0
Bank/savings and loan,11,4.0,3,1,2,1,2013,0.0,0.0
Bar/nightclub,121,53.0,5,44,16,1,2013,1.0,1.0
Camp/campground,2,1.0,1,0,0,0,2013,0.0,0.0
Church/synagogue/temple/mosque,206,13.0,189,2,2,0,2013,0.0,0.0
Commercial office building,117,62.0,17,18,15,3,2013,1.0,1.0
Community center,1,0.0,1,0,0,0,2013,0.0,0.0
Construction site,13,5.0,3,0,5,0,2013,0.0,0.0
Convenience store,69,33.0,10,3,23,0,2013,0.0,0.0
Daycare facility,3,1.0,0,1,1,0,2013,0.0,0.0
Department/discount store,59,29.0,10,8,10,1,2013,0.0,1.0
Drug store/Doctor's office/hospital,48,30.0,11,3,3,0,2013,0.0,1.0
Farm facility,1,1.0,0,0,0,0,2013,0.0,0.0
Field/woods,53,31.0,5,14,3,0,2013,0.0,0.0
Gambling facility/casino/race track,3,1.0,0,0,2,0,2013,0.0,0.0
Government/public building,107,60.0,13,15,18,1,2013,0.0,0.0
Grocery/supermarket,53,32.0,2,8,10,1,2013,0.0,0.0
