"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2183314,"December 5, 2021",Texas,Douglass,"13000 block of TX-21",0,1,N/A
2182813,"December 4, 2021",Wisconsin,Milwaukee,"N 27th St and W McKinley Blvd",0,1,N/A
2182656,"December 4, 2021",Georgia,Savannah,"1900 block of Duval St",0,1,N/A
2184657,"December 4, 2021",Ohio,Toledo,N/A,0,1,N/A
2180913,"December 2, 2021",Louisiana,Lafayette,"5725 Johnston St",0,1,N/A
2177211,"November 28, 2021",Alabama,Dothan,"900 Block of Ussery St",0,1,N/A
2175942,"November 22, 2021","South Dakota","Rapid City","Fairmont Ct",0,1,N/A
2171859,"November 20, 2021","North Carolina",Robbins,"Cummings Rd",0,4,N/A
2171285,"November 19, 2021",Texas,Lubbock,"3600 block of 43rd St",0,1,N/A
2169312,"November 16, 2021",Georgia,Perry,"Coventry Cir",1,1,N/A
2167076,"November 14, 2021",Florida,Tampa,"8500 block of N Alaska St",0,1,N/A
2169593,"November 13, 2021","New York",Albany,"N Allen St",0,2,N/A
2167270,"November 13, 2021",Georgia,Nashville,"300 block of JD Nichols Rd",1,1,N/A
2165367,"November 11, 2021",Maryland,Beltsville,"4600 block of Marie St",0,1,N/A
2165756,"November 10, 2021",Indiana,Elkhart,N/A,0,1,N/A
2161899,"November 6, 2021",Alabama,Huntsville,"Rutledge Dr",0,1,N/A
2157333,"November 2, 2021",Connecticut,Waterbury,"Congress Ave and St. James Pl",0,1,N/A
2156489,"November 1, 2021","North Carolina",Smithfield,"Martin Luther King Jr Blvd and Furlong Dr",0,1,N/A
2157402,"November 1, 2021",Indiana,Greenwood,"1251 US Hwy 31 N",0,1,N/A
2155878,"October 31, 2021",Oklahoma,Bartlesville,"2800 block of SE Sheridan Rd",0,1,N/A
2150980,"October 25, 2021",Michigan,Irons,"N Oakwood Ln",0,1,N/A
2154118,"October 24, 2021",Kentucky,Murray,"107 N 12th St",0,1,N/A
